ward,gap_index,pt_index,gap_band,stop_gap,shelter_gap,hub_gap,density_gap,walk_gap,mean_walk_min,area_km2,stop_count,shelter_count,hub_count,stops_per_km2,median_walk_min,p90_walk_min,mean_network_m,pct_samples_within_5min,pct_samples_within_10min,mrts_station_count,cmrl_hub_count,railway_station_count,nearest_mrts_m,nearest_cmrl_m,nearest_railway_m
75,25,75.0,moderate,8,0,15,2,0,4.2,0.953,8,5,0,8.39,3.9,7.5,335.4,66.7,100.0,0,0,0,1762.6,2779.7,1786.6
170,24,76.0,low,0,20,0,4,0,3.7,2.701,21,1,2,7.77,3.3,7.2,298.5,71.3,98.4,2,0,2,568.6,2344.8,583.5
60,24,76.0,low,0,20,0,4,0,2.5,5.139,28,2,2,5.45,1.3,6.8,196.9,86.5,95.5,6,0,2,740.9,1144.1,665.8
124,23,77.0,low,14,0,5,4,0,3.9,1.025,6,4,1,5.85,3.8,6.2,313.9,60.4,100.0,1,0,1,234.4,2502.6,169.6
132,23,77.0,low,14,0,5,4,0,4.8,1.096,6,3,1,5.47,5.0,7.9,384.2,49.0,100.0,1,0,1,757.6,2648.7,750.0
161,23,77.0,low,8,13,0,2,0,3.5,0.79,7,1,2,8.86,3.1,6.4,282.7,80.6,100.0,2,0,1,305.4,987.2,307.3
30,23,77.0,low,0,0,15,4,4,6.0,3.097,21,6,0,6.78,6.2,10.6,482.9,40.6,88.1,0,0,0,3502.1,5907.4,3503.3
76,23,77.0,low,8,0,15,0,0,2.8,0.615,8,5,0,13.01,2.9,5.2,222.1,88.9,100.0,0,0,0,1558.8,1957.2,1524.7
111,22,78.0,low,0,20,0,2,0,3.4,2.717,28,2,2,10.31,2.8,6.9,268.4,74.0,100.0,0,2,0,2295.2,1566.4,2253.0
118,22,78.0,low,0,20,0,2,0,3.7,1.907,16,1,2,8.39,3.4,6.6,293.8,74.2,97.8,0,2,0,2057.9,494.8,2055.1
129,22,78.0,low,3,0,15,4,0,4.4,1.899,12,4,0,6.32,4.6,7.1,352.9,56.7,100.0,0,0,0,3165.3,2506.1,3165.9
27,22,78.0,low,0,0,15,7,0,5.8,3.644,14,4,0,3.84,5.6,10.3,463.5,40.1,89.0,0,0,0,4758.0,1886.2,5008.4
35,22,78.0,low,3,0,15,4,0,3.8,1.689,12,4,0,7.1,3.8,6.4,301.8,71.4,100.0,0,0,0,2597.0,4154.9,2570.4
38,22,78.0,low,3,0,15,4,0,3.2,1.801,10,7,0,5.55,3.1,6.2,255.7,79.5,100.0,0,0,0,804.2,3470.6,1028.2
126,20,80.0,low,3,0,15,2,0,3.4,1.04,10,3,0,9.62,3.1,6.0,273.6,79.6,100.0,0,0,0,1209.9,3173.0,1237.4
130,20,80.0,low,3,0,15,2,0,3.9,1.201,10,5,0,8.33,3.8,7.1,314.5,65.4,98.1,0,0,0,2011.5,3014.4,2013.2
